2023 Bituminous Street Resurfacing (#8377536)
Owner: City of Crystal
"Solicitor: Crystal MN, City of"
02/21/2023 10:00 AM CST

,,,,,,Engineer Estimate,,"T. A. Schifsky & Sons, Inc",,GMH Asphalt Corporation,,Park Construction Company,,"North Valley, Inc.",,"Valley Paving, Inc",,Asphalt Surface Technologies Corp.,,Northwest,,"C. S. McCrossan Construction, Inc.",,Bituminous Roadways Inc.,,Omann Brothers Paving Inc.,
Section Title,Line Item,Item Code,Item Description,UofM,Quantity,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension
SECTION A,,"=""""",,,,,$0.00,,"$609,632.90",,"$623,706.55",,"$643,745.35",,"$646,464.66",,"$658,983.08",,"$672,727.11",,"$688,893.00",,"$699,899.60",,"$708,987.85",,"$719,219.85"
,1,"=""2021.501""",MOBILIZATION,LS,1.000000000000,,,"$35,000.00","$35,000.00","$39,500.00","$39,500.00","$39,000.00","$39,000.00","$47,556.51","$47,556.51","$27,000.00","$27,000.00","$22,000.00","$22,000.00","$11,000.00","$11,000.00","$26,500.00","$26,500.00","$14,500.00","$14,500.00","$13,500.00","$13,500.00"
,2,"=""2104.503""",REMOVE CONCRETE CURB & GUTTER,LF,2150.000000000000,,,$8.00,"$17,200.00",$9.50,"$20,425.00",$19.80,"$42,570.00",$7.42,"$15,953.00",$10.07,"$21,650.50",$7.70,"$16,555.00",$11.90,"$25,585.00",$3.05,"$6,557.50",$7.00,"$15,050.00",$9.50,"$20,425.00"
,3,"=""2104.503""",SAWING CONCRETE PAVEMENT (FULL DEPTH),LF,200.000000000000,,,$5.00,"$1,000.00",$5.95,"$1,190.00",$5.10,"$1,020.00",$6.51,"$1,302.00",$5.72,"$1,144.00",$4.50,$900.00,$5.00,"$1,000.00",$6.40,"$1,280.00",$3.00,$600.00,$5.70,"$1,140.00"
,4,"=""2104.503""",SAWING BIT PAVEMENT (FULL DEPTH),LF,400.000000000000,,,$5.00,"$2,000.00",$2.93,"$1,172.00",$2.50,"$1,000.00",$3.53,"$1,412.00",$1.98,$792.00,$4.00,"$1,600.00",$3.00,"$1,200.00",$3.15,"$1,260.00",$2.00,$800.00,$3.40,"$1,360.00"
,5,"=""2104.504""",REMOVE BITUMINOS PAVEMENT,SY,1500.000000000000,,,$4.00,"$6,000.00",$4.50,"$6,750.00",$0.01,$15.00,$5.96,"$8,940.00",$6.31,"$9,465.00",$9.13,"$13,695.00",$6.68,"$10,020.00",$8.20,"$12,300.00",$7.00,"$10,500.00",$4.85,"$7,275.00"
,6,"=""2104.504""",REMOVE CONCRETE DRIVEWAY PAVEMENT,SY,50.000000000000,,,$25.00,"$1,250.00",$20.00,"$1,000.00",$10.40,$520.00,$13.03,$651.50,$15.90,$795.00,$17.60,$880.00,$25.54,"$1,277.00",$18.60,$930.00,$16.00,$800.00,$14.50,$725.00
,7,"=""2104.518""",REMOVE CONCRETE SIDEWALK,SF,7075.000000000000,,,$1.50,"$10,612.50",$0.65,"$4,598.75",$1.10,"$7,782.50",$1.11,"$7,853.25",$1.29,"$9,126.75",$2.09,"$14,786.75",$1.87,"$13,230.25",$1.20,"$8,490.00",$1.05,"$7,428.75",$0.73,"$5,164.75"
,8,"=""2105.607""",COMMON EXCAVATION,CY,275.000000000000,,,$45.00,"$12,375.00",$0.01,$2.75,$0.01,$2.75,$75.45,"$20,748.75",$41.65,"$11,453.75",$50.40,"$13,860.00",$36.41,"$10,012.75",$22.00,"$6,050.00",$44.00,"$12,100.00",$31.00,"$8,525.00"
,9,"=""2123.610""",STREET SWEEPER (WITH PICKUP BROOM),HR,30.000000000000,,,$160.00,"$4,800.00",$160.00,"$4,800.00",$168.00,"$5,040.00",$179.15,"$5,374.50",$7.05,$211.50,$176.00,"$5,280.00",$165.00,"$4,950.00",$173.00,"$5,190.00",$185.00,"$5,550.00",$170.00,"$5,100.00"
,11,"=""2211.509""",AGGREGATE BASE CLASS 5,TON,520.000000000000,,,$45.00,"$23,400.00",$0.01,$5.20,$0.01,$5.20,$13.24,"$6,884.80",$32.51,"$16,905.20",$44.00,"$22,880.00",$34.63,"$18,007.60",$25.90,"$13,468.00",$28.00,"$14,560.00",$42.50,"$22,100.00"
,12,"=""2231.603""",BITUMINOUS SURFACE CRACK REPAIR,LF,500.000000000000,,,$8.00,"$4,000.00",$12.00,"$6,000.00",$8.35,"$4,175.00",$10.75,"$5,375.00",$16.29,"$8,145.00",$18.70,"$9,350.00",$12.71,"$6,355.00",$9.65,"$4,825.00",$13.00,"$6,500.00",$16.20,"$8,100.00"
,13,"=""2231.604""",BITUMINOUS PAVEMENT BREAKUP REPAIR,SY,750.000000000000,,,$27.00,"$20,250.00",$44.50,"$33,375.00",$50.30,"$37,725.00",$56.53,"$42,397.50",$88.13,"$66,097.50",$63.80,"$47,850.00",$100.22,"$75,165.00",$81.70,"$61,275.00",$93.00,"$69,750.00",$89.30,"$66,975.00"
,14,"=""2232.504""","MILL BITUMINOUS PAVEMENT (2""0)",SY,16550.000000000000,,,$1.52,"$25,156.00",$1.23,"$20,356.50",$1.35,"$22,342.50",$1.16,"$19,198.00",$1.41,"$23,335.50",$1.65,"$27,307.50",$1.30,"$21,515.00",$1.30,"$21,515.00",$3.00,"$49,650.00",$2.37,"$39,223.50"
,15,"=""2301.502""",DOWEL BAR,EA,40.000000000000,,,$28.89,"$1,155.60",$21.10,$844.00,$20.40,$816.00,$29.92,"$1,196.80",$20.80,$832.00,$29.70,"$1,188.00",$22.00,$880.00,$32.40,"$1,296.00",$21.00,$840.00,$28.13,"$1,125.20"
,16,"=""2357.506""",BITUMINOUS MATERIAL FOR TACK COAT,GAL,1655.000000000000,,,$0.01,$16.55,$3.20,"$5,296.00",$0.01,$16.55,$3.75,"$6,206.25",$1.90,"$3,144.50",$3.30,"$5,461.50",$4.00,"$6,620.00",$5.60,"$9,268.00",$3.00,"$4,965.00",$4.00,"$6,620.00"
,17,"=""2360.504""","TYPE SP 9.5 WEAR CRS MIX (2,B) 2.5"" THICK",SY,70.000000000000,,,$45.00,"$3,150.00",$23.60,"$1,652.00",$40.60,"$2,842.00",$72.31,"$5,061.70",$26.40,"$1,848.00",$42.35,"$2,964.50",$52.07,"$3,644.90",$27.60,"$1,932.00",$40.00,"$2,800.00",$92.15,"$6,450.50"
,18,"=""2360.509""","TYPE SP 12.5 WEARING COURSE MIX (2,C)",TON,2050.000000000000,,,$82.75,"$169,637.50",$92.35,"$189,317.50",$88.60,"$181,630.00",$86.51,"$177,345.50",$91.44,"$187,452.00",$91.85,"$188,292.50",$89.49,"$183,454.50",$82.80,"$169,740.00",$110.00,"$225,500.00",$108.50,"$222,425.00"
