2024 BITUMINOUS RESURFACING PROJECT (#9145602)
"Owner: Crystal MN, City of"
"Solicitor: Crystal MN, City of"
06/17/2024 10:00 AM CDT

,,,,,,Engineer Estimate,,GMH Asphalt Corporation,,"North Valley, Inc.",,"C. S. McCrossan Construction, Inc.",,Bituminous Roadways Inc.,
Section Title,Line Item,Item Code,Item Description,UofM,Quantity,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension
S.0309 2024 MSA Mill and Overlay,,"=""""",,,,,$0.00,,"$715,937.75",,"$864,669.99",,"$917,523.50",,"$930,250.22"
,1,"=""2021.501""",Mobilization,LS,1.000000000000,,,"$72,500.00","$72,500.00","$44,321.59","$44,321.59","$36,110.00","$36,110.00","$100,000.00","$100,000.00"
,2,"=""2104.503""",Remove Concrete Curb & Gutter,LF,5000.000000000000,,,$1.60,"$8,000.00",$8.16,"$40,800.00",$8.85,"$44,250.00",$15.00,"$75,000.00"
,3,"=""2104.503""",Sawing Concrete Pavement ,LF,200.000000000000,,,$5.50,"$1,100.00",$8.14,"$1,628.00",$6.25,"$1,250.00",$5.20,"$1,040.00"
,4,"=""2104.503""",Sawing Bituminous Pavement ,LF,5000.000000000000,,,$1.90,"$9,500.00",$3.09,"$15,450.00",$2.20,"$11,000.00",$2.00,"$10,000.00"
,5,"=""2104.504""",Remove Bituminous Pavement ,SY,1500.000000000000,,,$2.60,"$3,900.00",$6.20,"$9,300.00",$6.60,"$9,900.00",$9.00,"$13,500.00"
,6,"=""2104.504""",Remove Concrete Driveway Pavement,SY,100.000000000000,,,$13.00,"$1,300.00",$10.86,"$1,086.00",$12.00,"$1,200.00",$21.00,"$2,100.00"
,7,"=""2104.504""",Remove Concrete Valley Gutter,SY,60.000000000000,,,$8.00,$480.00,$10.86,$651.60,$12.00,$720.00,$29.00,"$1,740.00"
,8,"=""2105.607""",Common Excavation (EV) (P) ,CY,200.000000000000,,,$38.00,"$7,600.00",$71.74,"$14,348.00",$35.10,"$7,020.00",$50.00,"$10,000.00"
,9,"=""2123.61""",Street Sweeper (With Pickup Broom) ,HR,50.000000000000,,,$175.00,"$8,750.00",$92.27,"$4,613.50",$202.00,"$10,100.00",$100.00,"$5,000.00"
,10,"=""2211.509""","Aggregate Base, Class 5 ",TON,540.000000000000,,,$15.00,"$8,100.00",$1.09,$588.60,$43.00,"$23,220.00",$33.00,"$17,820.00"
,11,"=""2231.603""",Butuminous Surface Crack Repair ,LF,1000.000000000000,,,$3.50,"$3,500.00",$10.67,"$10,670.00",$11.80,"$11,800.00",$8.00,"$8,000.00"
,12,"=""2231.604""",Bituminous Pavement Breakup Repair ,SY,1500.000000000000,,,$10.00,"$15,000.00",$56.80,"$85,200.00",$78.50,"$117,750.00",$54.00,"$81,000.00"
,13,"=""2232.504""","Mill Bituminous Pavement (1.5"") ",SY,30000.000000000000,,,$2.15,"$64,500.00",$1.28,"$38,400.00",$1.50,"$45,000.00",$1.70,"$51,000.00"
,14,"=""2357.506""",Bituminous Material for Tack Coat ,GAL,3000.000000000000,,,$0.01,$30.00,$4.18,"$12,540.00",$3.75,"$11,250.00",$0.01,$30.00
,15,"=""2360.504""","Type SP 9.5 Wearing Course Mixture (2,C) 2.5"" Thick (Driveway Patch) ",SY,100.000000000000,,,$135.00,"$13,500.00",$53.89,"$5,389.00",$44.00,"$4,400.00",$35.00,"$3,500.00"
,16,"=""2360.509""","Type SP 12.5 Wearing Course Mixture (2,C) ",TON,3000.000000000000,,,$73.70,"$221,100.00",$87.45,"$262,350.00",$84.50,"$253,500.00",$84.00,"$252,000.00"
,17,"=""2360.509""","Type SP 19 Non Wearing Course Mix (2,B)",TON,200.000000000000,,,$105.00,"$21,000.00",$152.33,"$30,466.00",$177.00,"$35,400.00",$125.00,"$25,000.00"
,18,"=""2506.502""",Adjust Frame and Ring Casting (Catch Basin),EA,22.000000000000,,,$950.00,"$20,900.00",$949.85,"$20,896.70","$2,000.00","$44,000.00","$1,700.00","$37,400.00"
,19,"=""2506.502""",Adjust Frame and Ring Casting (Manhole),EA,24.000000000000,,,"$1,480.00","$35,520.00","$1,356.93","$32,566.32","$1,490.00","$35,760.00","$1,600.00","$38,400.00"
,20,"=""2506.502""",Adjust Misc. Casting - Riser Adjustment ,EA,10.000000000000,,,$250.00,"$2,500.00",$27.14,$271.40,$509.00,"$5,090.00",$100.00,"$1,000.00"
,21,"=""2531.503""",Concrete Curb & Gutter Design B618,LF,5000.000000000000,,,$31.65,"$158,250.00",$40.44,"$202,200.00",$33.20,"$166,000.00",$32.00,"$160,000.00"
,22,"=""2531.504""","6"" Concrete Driveway Pavement - High Early",SY,100.000000000000,,,$77.05,"$7,705.00",$67.30,"$6,730.00",$90.80,"$9,080.00",$79.00,"$7,900.00"
,23,"=""2531.603""","7"" Concrete Valley Gutter - High Early",SY,60.000000000000,,,$98.15,"$5,889.00",$67.30,"$4,038.00",$113.00,"$6,780.00",$100.00,"$6,000.00"
,24,"=""2563.601""",Traffic Control ,LS,1.000000000000,,,"$22,000.00","$22,000.00","$3,690.84","$3,690.84","$6,180.00","$6,180.00","$10,000.00","$10,000.00"
,25,"=""2573.502""",Strom Drain Inlet Protection ,EA,22.000000000000,,,$150.00,"$3,300.00",$92.27,"$2,029.94",$188.00,"$4,136.00",$0.01,$0.22
,26,"=""2574.507""",Boulevard Topsoil Borrow (Mn.DOT 3877.2F),CY,175.000000000000,,,$0.01,$1.75,$67.66,"$11,840.50",$50.10,"$8,767.50",$52.00,"$9,100.00"
,27,"=""2575.604""",Hydroseeding (MnDOT 25-151),SY,1200.000000000000,,,$0.01,$12.00,$2.17,"$2,604.00",$6.55,"$7,860.00",$3.10,"$3,720.00"
Alternate section - required,,"=""""",,,,,$0.00,,"$282,687.75",,"$297,920.00",,"$286,661.50",,"$288,955.05"
,28,"=""2021.501""",Mobilization,LS,1.000000000000,,,"$15,000.00","$15,000.00","$7,416.43","$7,416.43","$6,060.00","$6,060.00","$10,000.00","$10,000.00"
,29,"=""2104.503""",Sawing Concrete Pavement ,LF,50.000000000000,,,$6.00,$300.00,$8.14,$407.00,$6.25,$312.50,$5.20,$260.00
