2025 Bituminous Resurfacing Project (#9563326)
"Owner: Crystal MN, City of"
"Solicitor: Crystal MN, City of"
03/12/2025 11:00 AM CDT

,,,,,,Engineer Estimate,,"Valley Paving, Inc",,Northwest,,Omann Brothers Paving Inc.,,GMH Asphalt Corporation,,Asphalt Surface Technologies Corp.,,Park Construction Company,,"North Valley, Inc.",,Bituminous Roadways Inc.,
Section Title,Line Item,Item Code,Item Description,UofM,Quantity,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension,Unit Price,Extension
S.3887 2025 Mill and Overlay,,,,,,,$0.00,,"$456,150.70",,"$486,306.24",,"$510,981.30",,"$511,306.60",,"$517,651.50",,"$542,756.50",,"$549,276.09",,"$651,594.00"
,1,2021.501,Mobilization,LS,1.000000000000,,,"$16,000.00","$16,000.00","$18,660.00","$18,660.00","$6,200.00","$6,200.00","$78,000.00","$78,000.00","$18,500.00","$18,500.00","$39,800.00","$39,800.00","$11,920.03","$11,920.03","$30,000.00","$30,000.00"
,2,2104.503,Remove Concrete Curb & Gutter,LF,270.000000000000,,,$14.00,"$3,780.00",$18.86,"$5,092.20",$4.40,"$1,188.00",$25.00,"$6,750.00",$8.80,"$2,376.00",$17.00,"$4,590.00",$11.98,"$3,234.60",$14.00,"$3,780.00"
,3,2104.503,Sawing Concrete Pavement ,LF,80.000000000000,,,$5.50,$440.00,$6.00,$480.00,$3.50,$280.00,$6.15,$492.00,$4.00,$320.00,$5.30,$424.00,$5.96,$476.80,$5.00,$400.00
,4,2104.503,Sawing Bituminous Pavement ,LF,512.000000000000,,,$2.10,"$1,075.20",$4.00,"$2,048.00",$2.65,"$1,356.80",$2.35,"$1,203.20",$3.00,"$1,536.00",$2.00,"$1,024.00",$2.33,"$1,192.96",$2.00,"$1,024.00"
,5,2104.504,Remove Bituminous Pavement ,SY,100.000000000000,,,$12.00,"$1,200.00",$20.40,"$2,040.00",$15.00,"$1,500.00",$7.90,$790.00,$18.15,"$1,815.00",$20.70,"$2,070.00",$17.97,"$1,797.00",$20.00,"$2,000.00"
,6,2104.504,Remove Concrete Driveway Pavement,SY,50.000000000000,,,$23.00,"$1,150.00",$20.40,"$1,020.00",$11.00,$550.00,$14.00,$700.00,$19.80,$990.00,$19.90,$995.00,$43.14,"$2,157.00",$30.00,"$1,500.00"
,7,2105.607,Common Excavation (EV) (P) ,CY,100.000000000000,,,$60.00,"$6,000.00",$39.10,"$3,910.00",$34.00,"$3,400.00",$45.55,"$4,555.00",$46.20,"$4,620.00",$106.00,"$10,600.00",$32.51,"$3,251.00",$80.00,"$8,000.00"
,8,2211.509,"Aggregate Base, Class 5 ",TON,100.000000000000,,,$15.00,"$1,500.00",$29.05,"$2,905.00",$15.00,"$1,500.00",$10.00,"$1,000.00",$50.00,"$5,000.00",$0.01,$1.00,$23.84,"$2,384.00",$45.00,"$4,500.00"
,9,2231.603,Butuminous Surface Crack Repair ,LF,240.000000000000,,,$13.00,"$3,120.00",$52.00,"$12,480.00",$8.00,"$1,920.00",$14.00,"$3,360.00",$15.40,"$3,696.00",$9.70,"$2,328.00",$26.06,"$6,254.40",$11.00,"$2,640.00"
,10,2231.604,Bituminous Pavement Breakup Repair ,SY,1200.000000000000,,,$14.00,"$16,800.00",$41.30,"$49,560.00",$59.50,"$71,400.00",$10.00,"$12,000.00",$76.12,"$91,344.00",$73.20,"$87,840.00",$104.98,"$125,976.00",$75.00,"$90,000.00"
,11,2232.504,"Mill Bituminous Pavement (2"") ",SY,24000.000000000000,,,$1.40,"$33,600.00",$1.00,"$24,000.00",$2.35,"$56,400.00",$2.25,"$54,000.00",$1.32,"$31,680.00",$1.20,"$28,800.00",$1.42,"$34,080.00",$3.00,"$72,000.00"
,12,2357.506,Bituminous Material for Tack Coat ,GAL,2400.000000000000,,,$2.00,"$4,800.00",$4.25,"$10,200.00",$3.50,"$8,400.00",$0.01,$24.00,$3.00,"$7,200.00",$2.30,"$5,520.00",$2.98,"$7,152.00",$1.00,"$2,400.00"
,13,2360.504,"Type SP 9.5 Wearing Course Mixture (2,C) 2.5"" Thick (Driveway Patch) ",TON,12.000000000000,,,$202.00,"$2,424.00",$153.57,"$1,842.84",$255.00,"$3,060.00",$190.00,"$2,280.00",$231.00,"$2,772.00",$312.00,"$3,744.00",$306.02,"$3,672.24",$225.00,"$2,700.00"
,14,2360.509,"Type SP 12.5 Wearing Course Mixture (2,C) ",TON,3000.000000000000,,,$84.00,"$252,000.00",$82.95,"$248,850.00",$89.20,"$267,600.00",$77.65,"$232,950.00",$82.24,"$246,720.00",$79.20,"$237,600.00",$78.70,"$236,100.00",$85.00,"$255,000.00"
,15,2360.509,"Type SP 19 Non Wearing Course Mix (2,B)",TON,150.000000000000,,,$158.00,"$23,700.00",$96.06,"$14,409.00",$155.00,"$23,250.00",$0.01,$1.50,$109.67,"$16,450.50",$137.00,"$20,550.00",$143.15,"$21,472.50",$160.00,"$24,000.00"
,16,2506.502,Adjust Frame and Ring Casting (Catch Basin),EA,20.000000000000,,,$410.00,"$8,200.00",$498.00,"$9,960.00",$125.00,"$2,500.00",$950.00,"$19,000.00",$550.00,"$11,000.00",$364.00,"$7,280.00",$349.30,"$6,986.00","$1,200.00","$24,000.00"
,17,2506.502,Adjust Frame and Ring Casting (Manhole),EA,33.000000000000,,,$875.00,"$28,875.00",$572.00,"$18,876.00",$680.00,"$22,440.00","$1,250.00","$41,250.00",$803.00,"$26,499.00",$989.00,"$32,637.00",$842.78,"$27,811.74","$1,300.00","$42,900.00"
,18,2531.503,Concrete Curb & Gutter Design B618,LF,270.000000000000,,,$28.00,"$7,560.00",$40.76,"$11,005.20",$22.75,"$6,142.50",$44.29,"$11,958.30",$39.60,"$10,692.00",$34.10,"$9,207.00",$39.01,"$10,532.70",$40.00,"$10,800.00"
,19,2531.504,"6"" Concrete Driveway Pavement - High Early",SY,80.000000000000,,,$65.00,"$5,200.00",$96.35,"$7,708.00",$73.25,"$5,860.00",$83.07,"$6,645.60",$89.10,"$7,128.00",$101.00,"$8,080.00",$87.77,"$7,021.60",$85.00,"$6,800.00"
,20,2563.601,Traffic Control ,LS,1.000000000000,,,"$2,000.00","$2,000.00","$6,850.00","$6,850.00","$3,600.00","$3,600.00","$19,500.00","$19,500.00","$2,200.00","$2,200.00","$1,970.00","$1,970.00","$2,113.09","$2,113.09","$12,000.00","$12,000.00"
,21,2573.502,Strom Drain Inlet Protection ,EA,20.000000000000,,,$125.00,"$2,500.00",$150.00,"$3,000.00",$154.80,"$3,096.00",$150.00,"$3,000.00",$165.00,"$3,300.00",$169.00,"$3,380.00",$70.44,"$1,408.80",$100.00,"$2,000.00"
,22,2574.507,Boulevard Topsoil Borrow (Mn.DOT 3877.2F),CY,150.000000000000,,,$0.01,$1.50,$58.20,"$8,730.00",$56.76,"$8,514.00",$0.01,$1.50,$47.30,"$7,095.00",$0.01,$1.50,$55.58,"$8,337.00",$75.00,"$11,250.00"
,23,2575.604,Hydroseeding (MnDOT 25-151),SY,50.000000000000,,,$6.00,$300.00,$12.00,$600.00,$2.58,$129.00,$0.01,$0.50,$11.00,$550.00,$10.10,$505.00,$27.95,"$1,397.50",$10.00,$500.00
,24,2506.502,Sanitary Sewer Casting Assembly,EA,23.000000000000,,,"$1,475.00","$33,925.00",$960.00,"$22,080.00",$465.00,"$10,695.00",$515.00,"$11,845.00",$616.00,"$14,168.00","$1,470.00","$33,810.00",$980.31,"$22,547.13","$1,800.00","$41,400.00"
Alternate 1 section - required,,,,,,,$0.00,,"$181,669.70",,"$224,927.84",,"$195,540.40",,"$182,035.90",,"$204,178.70",,"$222,833.75",,"$227,190.15",,"$249,009.00"
,25,2021.501,Mobilization,LS,1.000000000000,,,"$3,000.00","$3,000.00","$6,502.00","$6,502.00","$1,250.00","$1,250.00","$30,000.00","$30,000.00","$6,000.00","$6,000.00","$18,400.00","$18,400.00","$4,876.38","$4,876.38","$12,500.00","$12,500.00"
,26,2104.503,Remove Concrete Curb & Gutter,LF,250.000000000000,,,$14.00,"$3,500.00",$18.86,"$4,715.00",$4.40,"$1,100.00",$25.00,"$6,250.00",$8.80,"$2,200.00",$17.00,"$4,250.00",$11.99,"$2,997.50",$14.00,"$3,500.00"
,27,2104.503,Sawing Concrete Pavement ,LF,80.000000000000,,,$5.50,$440.00,$6.00,$480.00,$3.50,$280.00,$6.15,$492.00,$4.00,$320.00,$5.30,$424.00,$5.96,$476.80,$5.00,$400.00
,28,2104.503,Sawing Bituminous Pavement ,LF,512.000000000000,,,$2.10,"$1,075.20",$4.00,"$2,048.00",$2.65,"$1,356.80",$2.35,"$1,203.20",$3.00,"$1,536.00",$2.00,"$1,024.00",$2.33,"$1,192.96",$2.00,"$1,024.00"
,29,2104.504,Remove Bituminous Pavement ,SY,100.000000000000,,,$12.00,"$1,200.00",$20.40,"$2,040.00",$15.00,"$1,500.00",$7.90,$790.00,$18.15,"$1,815.00",$20.70,"$2,070.00",$17.98,"$1,798.00",$20.00,"$2,000.00"
,30,2104.504,Remove Concrete Driveway Pavement,SY,50.000000000000,,,$24.00,"$1,200.00",$20.40,"$1,020.00",$11.00,$550.00,$14.00,$700.00,$19.80,$990.00,$19.90,$995.00,$43.14,"$2,157.00",$30.00,"$1,500.00"
,31,2105.607,Common Excavation (EV) (P) ,CY,100.000000000000,,,$60.00,"$6,000.00",$39.10,"$3,910.00",$34.00,"$3,400.00",$45.55,"$4,555.00",$46.20,"$4,620.00",$106.00,"$10,600.00",$32.51,"$3,251.00",$80.00,"$8,000.00"
,32,2211.509,"Aggregate Base, Class 5 ",TON,100.000000000000,,,$15.00,"$1,500.00",$29.05,"$2,905.00",$15.00,"$1,500.00",$10.00,"$1,000.00",$50.00,"$5,000.00",$0.01,$1.00,$23.84,"$2,384.00",$45.00,"$4,500.00"
,33,2231.603,Butuminous Surface Crack Repair ,LF,765.000000000000,,,$13.00,"$9,945.00",$46.00,"$35,190.00",$8.00,"$6,120.00",$4.15,"$3,174.75",$15.40,"$11,781.00",$8.05,"$6,158.25",$26.06,"$19,935.90",$11.00,"$8,415.00"
,34,2231.604,Bituminous Pavement Breakup Repair ,SY,385.000000000000,,,$14.00,"$5,390.00",$63.45,"$24,428.25",$61.50,"$23,677.50",$10.00,"$3,850.00",$76.12,"$29,306.20",$88.70,"$34,149.50",$104.98,"$40,417.30",$75.00,"$28,875.00"
,35,2232.504,"Mill Bituminous Pavement (2"") ",SY,7650.000000000000,,,$1.40,"$10,710.00",$1.12,"$8,568.00",$2.35,"$17,977.50",$2.25,"$17,212.50",$1.32,"$10,098.00",$1.20,"$9,180.00",$1.42,"$10,863.00",$3.00,"$22,950.00"
,36,2357.506,Bituminous Material for Tack Coat ,GAL,845.000000000000,,,$2.00,"$1,690.00",$4.25,"$3,591.25",$3.50,"$2,957.50",$0.01,$8.45,$3.00,"$2,535.00",$2.30,"$1,943.50",$2.98,"$2,518.10",$1.00,$845.00
,37,2360.504,"Type SP 9.5 Wearing Course Mixture (2,C) 2.5"" Thick (Driveway Patch) ",TON,12.000000000000,,,$202.00,"$2,424.00",$153.57,"$1,842.84",$255.00,"$3,060.00",$190.00,"$2,280.00",$231.00,"$2,772.00",$312.00,"$3,744.00",$306.02,"$3,672.24",$225.00,"$2,700.00"
,38,2360.509,"Type SP 12.5 Wearing Course Mixture (2,C) ",TON,950.000000000000,,,$84.00,"$79,800.00",$84.19,"$79,980.50",$89.20,"$84,740.00",$77.65,"$73,767.50",$82.24,"$78,128.00",$79.20,"$75,240.00",$78.69,"$74,755.50",$85.00,"$80,750.00"
,39,2360.509,"Type SP 19 Non Wearing Course Mix (2,B)",TON,150.000000000000,,,$158.00,"$23,700.00",$96.06,"$14,409.00",$155.00,"$23,250.00",$0.01,$1.50,$109.67,"$16,450.50",$137.00,"$20,550.00",$143.16,"$21,474.00",$160.00,"$24,000.00"
,40,2506.502,Adjust Frame and Ring Casting (Catch Basin),EA,5.000000000000,,,$410.00,"$2,050.00",$498.00,"$2,490.00",$125.00,$625.00,$950.00,"$4,750.00",$500.00,"$2,500.00",$371.00,"$1,855.00",$349.30,"$1,746.50","$1,200.00","$6,000.00"
,41,2506.502,Adjust Frame and Ring Casting (Manhole),EA,7.000000000000,,,$875.00,"$6,125.00",$612.00,"$4,284.00",$680.00,"$4,760.00","$1,250.00","$8,750.00",$803.00,"$5,621.00",$996.00,"$6,972.00",$841.99,"$5,893.93","$1,300.00","$9,100.00"
,42,2531.503,Concrete Curb & Gutter Design B618,LF,250.000000000000,,,$28.00,"$7,000.00",$40.76,"$10,190.00",$22.75,"$5,687.50",$44.29,"$11,072.50",$39.60,"$9,900.00",$34.10,"$8,525.00",$39.01,"$9,752.50",$40.00,"$10,000.00"
,43,2531.504,"6"" Concrete Driveway Pavement - High Early",SY,40.000000000000,,,$65.00,"$2,600.00",$96.35,"$3,854.00",$73.25,"$2,930.00",$83.07,"$3,322.80",$89.10,"$3,564.00",$105.00,"$4,200.00",$87.77,"$3,510.80",$85.00,"$3,400.00"
,44,2563.601,Traffic Control ,LS,1.000000000000,,,"$1,250.00","$1,250.00","$1,450.00","$1,450.00","$1,900.00","$1,900.00","$4,500.00","$4,500.00","$1,320.00","$1,320.00","$1,210.00","$1,210.00","$1,300.37","$1,300.37","$1,500.00","$1,500.00"
,45,2573.502,Strom Drain Inlet Protection ,EA,5.000000000000,,,$125.00,$625.00,$150.00,$750.00,$154.80,$774.00,$150.00,$750.00,$165.00,$825.00,$170.00,$850.00,$70.44,$352.20,$100.00,$500.00
